线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点万单理赔率,始发网点赔付比例,目的网点万单理赔率,目的网点赔付比例,实际赔付金额,理赔差额,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,虚报比例,生鲜妥投组合类别_编码,始发网点类别_target_encoded,目的网点类别_target_encoded
2,0,0,1.402,146,125,183889,300000,-1,427863,Damage,Internal Software,723606396,947.97,"Apparel, Footwear & Accessories",0,C,Consigner,0.308172847,0.999955015,8.307474474,0.969814737,144.51,803.46,1,2,1,0,6,5.5598920486084085,2,247.54199999999997,275.80718681318683
2,1,0,0.971,309,117,147363,300000,-1,427847,Damage,Call,979969976,992.87,Jewelry,1,C,Consigner,7.689305757,0.995094747,0.0,0.961338696,135.98,856.89,1,0,12,0,6,6.301588468429064,2,266.89086363636363,203.0566087613293
2,0,0,56.729,134,4,21570,146233,-1,-23039,未知,Call,495475,352.65,Alcohol,1,C,Receiver,52.15836498,0.99645749,31.08377676,0.992379583,119.35,233.29999999999998,0,0,0,1,5,1.9547549223330747,2,307.8155714285714,323.6829864253394
2,0,1,66.737,229,222,226496,308949,-1,427699,Damage,Internal Software,2055277,264.29,Household Goods,1,B,Receiver,4.969986622,0.977141433,3.612905418,0.965112653,74.85,189.44000000000003,1,2,11,1,6,2.5309285233759624,2,272.36691144708425,242.46427917620136
2,0,0,11.434,179,168,122138,50377,-1,427758,未知,Mini Program,-56717,157.58,Household Goods,0,C,Consigner,0.0,0.991470292,3.461958887,0.981530892,22.14,135.44,0,4,11,0,0,6.117434504915341,2,231.20324660633486,245.12169230769229
5,1,0,45.377,1,30,22338,84035,-1,427817,未知,Call,184144,214.52,Household Goods,0,C,Consigner,11.66957735,0.98413284,0.0,0.983781449,13.53,200.99,0,0,11,0,4,14.855136722206108,2,277.79844097995544,203.0566087613293
3,1,1,46.939,4,151,206719,228962,-1,175818,未知,Call,209133,133.24,Hardware,-1,C,Consigner,0.0,0.993440979,0.0,0.952189052,29.26,103.98,0,0,9,0,4,3.553656868231833,2,234.50764254385965,202.15432713754646
2,0,0,175.385,201,274,197553,300000,1,423498,未知,Call,699874657,1786.95,Alcohol,-1,C,Consigner,0.0,0.99721207,0.312705753,0.823117676,220.55,1566.4,0,0,0,0,6,7.102244388705407,2,234.50764254385965,202.15432713754646
2,0,1,120.826,309,221,227346,300000,1,427864,Suspected Lost,Call,125145237,1981.78,Pharmaceuticals,0,B,Consigner,0.0,0.970152442,17.90502454,0.942339596,275.97,1705.81,6,0,15,0,6,6.181142877625062,2,240.5930162412993,320.4072991071429
2,0,1,328.414,8,198,173006,128635,-1,427807,未知,Vendor Consultation,-81795,334.37,Dried Groceries,0,B,Unknown,37.51639409,0.973667206,26.2414358,0.991959291,70.29,264.08,0,6,5,3,0,3.75700668604965,2,318.8163908045977,310.9002546296296
