线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点万单理赔率,始发网点赔付比例,目的网点万单理赔率,目的网点赔付比例,实际赔付金额,理赔差额,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,虚报比例,生鲜妥投组合类别_编码,始发网点类别_target_encoded,目的网点类别_target_encoded,数分位指标,风险标注,风险标注_编码,始发城市_风险特征,目的城市_风险特征,寄件人_风险特征,收件人_风险特征,预测赔付金额,风险等级,预测置信区间_下限,预测置信区间_上限,预测误差范围
2,0,0,1.402,146,125,183889,300000,-1,427863,Damage,Internal Software,723606396,947.97,"Apparel, Footwear & Accessories",0,C,Consigner,0.308172847,0.999955015,8.307474474,0.969814737,144.51,848.0908599903187,1,2,1,0,6,0.8475584670400962,2,247.542,275.80718681318683,8.406999305395823,诉求偏高,1,72.54835060757205,83.14143408470304,84.40978101154276,154.63751533829563,99.8791400096813,低风险,0.0,236.4586924039851,136.57955239430382
2,1,0,0.971,309,117,147363,300000,-1,427847,Damage,Call,979969976,992.87,Jewelry,1,C,Consigner,7.689305757,0.995094747,0.0,0.961338696,135.98,880.1862034540507,1,0,12,0,6,0.8630435001561131,2,266.89086363636363,203.0566087613293,7.742406835421718,诉求偏高,1,144.42939045224074,83.55721021728898,125.94290017286067,154.63751533829563,112.6837965459494,中低风险,0.0,249.2633489402532,136.57955239430382
2,0,0,56.729,134,4,21570,146233,-1,-23039,未知,Call,495475,352.65,Alcohol,1,C,Receiver,52.15836498,0.99645749,31.08377676,0.992379583,119.35,174.30662693427266,0,0,0,1,5,0.6615624556926132,2,307.8155714285714,323.6829864253394,0.9719156272944149,合理诉求,0,37.38804173743805,83.41096387920678,115.8925230174335,5.07723525621174,178.34337306572732,中低风险,41.7638206714235,314.92292546003114,136.57955239430382
2,0,1,66.737,229,222,226496,308949,-1,427699,Damage,Internal Software,2055277,264.29,Household Goods,1,B,Receiver,4.969986622,0.977141433,3.612905418,0.965112653,74.85,130.97354689743142,1,2,11,1,6,0.7167883764047069,2,272.36691144708425,242.46427917620136,0.9751117147012182,合理诉求,0,69.1300027634908,98.54384263464463,16.723468344114774,61.186704979308935,133.3164531025686,中低风险,0.0,269.8960054968724,136.57955239430382
2,0,0,11.434,179,168,122138,50377,-1,427758,未知,Mini Program,-56717,157.58,Household Goods,0,C,Consigner,0.0,0.991470292,3.461958887,0.981530892,22.14,86.42866856714609,0,4,11,0,0,0.85949993654017,2,231.2032466063349,245.12169230769229,1.197880438943515,合理诉求,1,65.21791013489069,92.55944449820753,25.96729390029006,39.222148006166606,71.15133143285392,低风险,0.0,207.73088382715773,136.57955239430382
5,1,0,45.377,1,30,22338,84035,-1,427817,未知,Call,184144,214.52,Household Goods,0,C,Consigner,11.66957735,0.98413284,0.0,0.983781449,13.53,112.98730966651587,0,0,11,0,4,0.9369289576729444,2,277.79844097995544,203.0566087613293,1.1019637668633138,合理诉求,2,70.73600184832473,31.94533833766621,91.8800846419484,9.568595432454014,101.53269033348414,低风险,0.0,238.112242727788,136.57955239430382
3,1,1,46.939,4,151,206719,228962,-1,175818,未知,Call,209133,133.24,Hardware,-1,C,Consigner,0.0,0.993440979,0.0,0.952189052,29.26,76.58849450810668,0,0,9,0,4,0.7803962773941759,2,234.50764254385965,202.1543271375465,1.3284734519010293,合理诉求,0,57.17527200563429,61.00197544413271,237.5189311596458,2.779365443584556,56.65150549189333,低风险,0.0,193.2310578861972,136.57955239430382
2,0,0,175.385,201,274,197553,300000,1,423498,未知,Call,699874657,1786.95,Alcohol,-1,C,Consigner,0.0,0.99721207,0.312705753,0.823117676,220.55,1476.661547703479,0,0,0,0,6,0.8765774084333642,2,234.50764254385965,202.1543271375465,4.743708084284701,合理诉求,1,101.97587316770104,106.02024520459533,241.8570721191681,154.63751533829563,310.288452296521,中高风险,173.70889990221715,446.8680046908248,136.57955239430382
2,0,1,120.826,309,221,227346,300000,1,427864,Suspected Lost,Call,125145237,1981.78,Pharmaceuticals,0,B,Consigner,0.0,0.970152442,17.90502454,0.942339596,275.97,1624.6156425529675,6,0,15,0,6,0.8607463997012786,2,240.5930162412993,320.4072991071429,4.535950070892317,合理诉求,1,144.42939045224074,119.28736273067376,89.08350723258485,154.63751533829563,357.1643574470324,中高风险,220.5848050527285,493.7439098413362,136.57955239430382
2,0,1,328.414,8,198,173006,128635,-1,427807,未知,Vendor Consultation,-81795,334.37,Dried Groceries,0,B,Unknown,37.51639409,0.973667206,26.2414358,0.991959291,70.29,158.52956006238747,0,6,5,3,0,0.7897837724676257,2,318.8163908045977,310.9002546296296,0.896455358957007,合理诉求,0,56.55570054837258,66.02229343536094,134.6467703925506,13.272383129777117,175.84043993761253,中低风险,39.26088754330871,312.4199923319163,136.57955239430382
