运单号,线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点发单量,始发网点万单理赔率,始发网点赔付比例,目的网点发单量,目的网点万单理赔率,目的网点赔付比例,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,是否生鲜商品,生鲜妥投组合类别_编码,始发城市_风险特征,目的城市_风险特征,寄件人_风险特征,收件人_风险特征,始发城市_风险标注均值,目的城市_风险标注均值,寄件人_风险标注均值,收件人_风险标注均值
1,2,0,0,0.943,146,161,223753,82746,-1,427849,Pickup Error,Internal Software,211031,680.57,Miscellaneous Goods,-1,C,Consigner,504039,0.069307,0.990782,855542,0.403306,0.99504,3,2,14,0,4,0,2,75.50373567911244,28.782972978997275,10.44857907571553,0.0,0.3,0.5555555555555556,0.25,0.0
2,2,1,0,0.786,158,126,227346,341476,-1,150511,未知,Call,311999,723.25,Hardware,-1,B,Consigner,326062,0.0,0.995804,2541530,0.0,0.968897,0,0,9,0,5,0,2,166.88537928718344,5.468307916372967,93.95808297694902,0.0,0.1538461538461538,0.1666666666666666,0.2585987261146497,0.0
3,2,0,0,411.188,178,179,205393,433022,-1,139879,Damage,Internal Software,1232135,1551.5,Hardware,1,B,Consigner,496895,34.51069,0.74477,246799,94.44991,0.979394,1,2,9,0,6,0,2,59.71452989301516,49.485349035609424,2.84234823431104,0.0,0.1660079051383399,0.17578125,0.0,0.0
4,2,0,0,0.0,268,0,187738,42524,-1,427754,未知,Call,58921,727.31,Electronic Product,0,C,Consigner,306519,0.0,0.994475,2259923,0.0,0.997277,0,0,6,0,2,0,2,96.84596855953218,75.01688402479252,1.56914908430995,7.110927550872904,0.1823899371069182,0.1507692307692307,0.0,0.0
5,5,0,0,32.977,41,7,208918,287855,-1,427796,Pickup Error,Vendor Consultation,-32144,100.13,Miscellaneous Goods,-1,B,Consigner,934138,11.25108,0.958145,543609,0.0,0.997522,3,6,14,0,0,0,2,15.195521366333276,92.30255429171878,0.0,0.874057549250652,0.125,0.1935483870967742,0.0,0.0
6,2,0,0,125.226,11,197,100136,25071,-1,427766,未知,Vendor Consultation,48762,382.99,Electronic Product,-1,C,Receiver,454057,19.25836,0.948027,1180147,7.09116,0.985388,0,6,6,1,2,0,2,46.140341664130425,63.769979151069016,0.0,0.3835474940785893,0.1724137931034483,0.208955223880597,0.0,0.0
7,3,0,0,281.941,11,142,26669,352766,-1,140970,未知,Call,1455507,477.56,Beauty & Daily Essentials,-1,C,Consigner,151469,52.38458,0.971713,56828,54.28817,0.942772,0,0,3,0,6,0,2,46.140341664130425,32.47128749327333,0.0,29.170460333472725,0.1724137931034483,0.0833333333333333,0.0,0.5
8,2,0,0,649.924,132,146,179679,363810,-1,2830,Pickup Error,Call,1065358,501.78,Hardware,-1,B,Consigner,1019424,47.82085,0.749729,295327,46.21963,0.991491,3,0,9,0,6,0,2,52.70819341651338,100.44850004559429,0.0,0.0,0.2071428571428571,0.1071428571428571,0.0,0.0
9,2,0,0,535.164,278,43,120500,175480,-1,427841,Pickup Error,Vendor Consultation,-76296,427.56,Pharmaceuticals,0,C,Consigner,107570,61.45768,0.991868,406949,77.71412,0.991748,3,6,15,0,0,0,2,86.14768587401899,47.014223570793376,0.0,0.0,0.2307692307692307,0.1428571428571428,0.0,0.0
10,2,1,0,519.59,179,54,42738,178317,-1,427864,Pickup Error,Mini Program,41656,648.87,Household Goods,-1,C,Receiver,97372,8.481,0.969802,158961,23.50891,0.941289,3,4,11,1,2,0,2,56.8349237193444,53.04915549785749,21.48077735530207,58.77739233437685,0.1497584541062802,0.0,0.0,0.0
